Year,Month,AT,LT,HT,,,,
2019,11,1.10921294117647,0.42388,1.96886411764706,0,0,0,0
2019,12,0.385750588235294,-0.323443529411765,1.19554764705882,0,0,0,0
2020,1,0.38825,-0.205698235294118,1.29540176470588,0,1.69889009803922,1.07524460784314,2.52036926470588
2020,2,0.488258235294118,-0.423658235294118,1.36892470588235,0,0,0,0
2020,3,1.02836058823529,0.291699411764706,2.02155,0,0,0,0
2020,4,1.39932,0.793752352941177,2.46246,0,0,0,0
2020,5,2.22797117647059,1.69354411764706,3.06384882352941,0,0,0,0
2020,6,2.87147352941176,2.33205470588235,3.64234,0,0,0,0
2020,7,2.87318529411765,2.54526823529412,3.54486470588235,0,0,0,0
2020,8,3.34173235294118,3.07223823529412,3.94941470588235,0,0,0,0
2020,9,2.62388764705882,2.04071235294118,3.31703352941176,0,0,0,0
2020,10,1.84450529411765,1.09263,2.55431058823529,0,0,0,0
2020,11,1.14911941176471,0.389722352941176,2.11449294117647,0,0,0,0
2020,12,0.150617647058824,-0.71933,0.909789411764706,0,0,0,0
